"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Energy Removed","Deaths"
"0","1600","0","478","1.92","1860","0","598","0","800","0"
"1","1600","0","543","2.02","2125","0","466","0","800","0"
"2","1585","0","578","2.06","2247","0","399","0","800","15"
"3","1585","0","582","1.98","2295","0","374","0","792.5","0"
"4","1575","0","592","2.02","2352","0","347","0","792.5","10"
"5","1575","0","606","1.9","2342","0","316","0","787.5","0"
"6","1558","0","601","2.03","2363","0","306","0","787.5","17"
"7","1558","0","593","2.01","2307","0","316","0","779","0"
"8","1544","0","597","2.02","2350","0","318","0","779","14"
"9","1544","0","602","2.1","2373","0","299","0","772","0"
"10","1537","0","604","1.97","2393","0","293","0","772","7"
"11","1541","0","602","2.06","2402","4","280","0","768.5","0"
"12","1533","0","595","2.09","2376","3","301","0","770.5","11"
"13","1538","0","611","1.98","2369","5","263","0","766.5","0"
"14","1534","0","596","2","2296","5","287","0","769","9"
"15","1538","0","613","2.05","2394","4","268","0","767","0"
"16","1537","0","603","2.05","2365","6","275","0","769","7"
"17","1549","0","605","2.12","2402","12","276","0","768.5","0"
"18","1558","0","616","2.01","2383","15","279","0","774.5","6"
"19","1573","0","599","1.89","2310","15","298","0","779","0"
"20","1575","0","608","1.94","2314","10","302","0","786.5","8"
"21","1592","0","605","1.95","2287","17","302","0","787.5","0"
"22","1594","0","626","1.98","2288","12","302","0","796","10"
"23","1603","0","610","1.83","2236","9","308","0","797","0"
"24","1605","0","613","1.96","2223","14","326","0","801.5","12"
"25","1624","0","617","1.85","2210","19","315","0","802.5","0"
"26","1631","0","626","1.87","2257","13","313","0","812","6"
"27","1650","0","638","1.72","2214","19","298","0","815.5","0"
"28","1656","0","632","1.86","2246","18","313","0","825","12"
"29","1678","0","635","1.68","2159","22","328","0","828","0"
"30","1686","0","631","1.74","2125","13","333","0","839","5"
"31","1700","0","634","1.71","2120","14","340","0","843","0"
"32","1712","0","647","1.73","2152","13","326","0","850","1"
"33","1737","0","655","1.86","2259","25","336","0","856","0"
"34","1743","0","660","1.77","2144","12","363","0","868.5","6"
"35","1769","0","659","1.74","2232","26","341","0","871.5","0"
"36","1773","0","682","1.76","2250","12","332","0","884.5","8"
"37","1787","0","669","1.73","2253","14","311","0","886.5","0"
"38","1795","0","692","1.77","2272","13","311","0","893.5","5"
"39","1817","0","697","1.76","2318","22","313","0","897.5","0"
"40","1824","0","705","1.78","2353","10","319","0","908.5","3"
"41","1844","0","695","1.73","2352","20","354","0","912","0"
"42","1861","0","705","1.68","2258","22","346","0","922","5"
"43","1889","0","709","1.66","2270","28","343","0","930.5","0"
"44","1910","0","726","1.79","2338","24","342","0","944.5","3"
"45","1935","0","729","1.73","2320","25","355","0","955","0"
"46","1945","0","738","1.74","2384","14","343","0","967.5","4"
"47","1966","0","724","1.66","2302","21","364","0","972.5","0"
"48","1976","0","753","1.73","2428","16","343","0","983","6"
"49","2002","0","735","1.66","2326","26","339","0","988","0"
"50","2014","0","756","1.61","2331","18","364","0","1001","6"
"51","2029","0","778","1.67","2385","15","376","0","1007","0"
"52","2038","0","760","1.64","2353","15","390","0","1014.5","6"
"53","2062","0","775","1.62","2376","24","353","0","1019","0"
"54","2070","0","789","1.6","2399","13","365","0","1031","5"
"55","2089","0","807","1.63","2435","19","342","0","1035","0"
"56","2108","0","788","1.63","2393","22","359","0","1044.5","3"
"57","2135","0","817","1.66","2563","27","334","0","1054","0"
"58","2160","0","829","1.61","2564","26","353","0","1067.5","1"
"59","2186","0","831","1.67","2599","26","365","0","1080","0"
