"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Deaths"
"0","1000","0","235","1.64","826","0","519","0","0"
"1","999","0","284","1.66","998","0","417","0","1"
"2","996","0","306","1.76","1103","0","367","0","3"
"3","994","0","332","1.79","1147","0","318","0","2"
"4","989","0","342","1.79","1196","0","290","0","5"
"5","984","0","351","1.65","1201","0","270","0","5"
"6","982","0","356","1.81","1207","0","248","0","2"
"7","982","0","360","1.79","1238","0","245","0","0"
"8","978","0","361","1.77","1260","0","241","0","4"
"9","976","0","361","1.72","1253","0","240","0","2"
"10","975","0","365","1.69","1258","1","224","0","2"
"11","977","0","364","1.94","1285","5","226","0","3"
"12","979","0","371","1.85","1260","4","215","0","2"
"13","982","0","373","1.71","1241","4","215","0","1"
"14","984","0","377","1.72","1269","5","217","0","3"
"15","990","0","370","1.65","1198","7","224","0","1"
"16","991","0","375","1.72","1232","6","220","0","5"
"17","1001","0","370","1.75","1262","11","224","0","1"
"18","1014","0","375","1.69","1156","17","221","0","4"
"19","1019","0","387","1.56","1182","7","228","0","2"
"20","1031","0","376","1.57","1166","12","233","0","0"
"21","1044","0","396","1.35","1188","16","216","0","3"
"22","1060","0","398","1.57","1170","17","232","0","1"
"23","1076","0","398","1.54","1154","18","233","0","2"
"24","1084","0","401","1.52","1166","10","242","0","2"
"25","1098","0","412","1.54","1139","14","232","0","0"
"26","1115","0","423","1.51","1161","19","224","0","2"
"27","1129","0","419","1.46","1122","15","245","0","1"
"28","1143","0","438","1.41","1175","14","228","0","0"
"29","1161","0","448","1.45","1233","19","217","0","1"
"30","1169","0","451","1.45","1242","12","218","0","4"
"31","1177","0","432","1.42","1178","11","262","0","3"
"32","1190","0","446","1.39","1227","14","243","0","1"
"33","1209","0","455","1.52","1278","19","243","0","0"
"34","1217","0","465","1.5","1282","9","249","0","1"
"35","1227","0","462","1.45","1241","15","259","0","5"
"36","1234","0","467","1.4","1261","8","259","0","1"
"37","1251","0","477","1.44","1245","19","243","0","2"
"38","1261","0","484","1.43","1267","14","239","0","4"
"39","1278","0","481","1.38","1241","17","260","0","0"
"40","1300","0","482","1.37","1264","25","264","0","3"
"41","1310","0","492","1.34","1240","12","263","0","2"
"42","1322","0","500","1.52","1258","13","256","0","1"
"43","1335","0","499","1.37","1311","15","260","0","2"
"44","1360","0","505","1.31","1258","25","258","0","0"
"45","1373","0","517","1.35","1294","15","267","0","2"
"46","1390","0","527","1.39","1363","17","261","0","0"
"47","1413","0","541","1.32","1353","24","260","1","1"
