"Time","# Players","Strategy 0","Strategy 1","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Deaths","Energy Removed"
"0","1000","500","500","0","252","1.78","886","0","489","801","0","500"
"1","989","489","500","0","295","1.83","1058","0","396","801","11","500"
"2","986","486","500","0","315","1.85","1081","0","350","801","3","494.5"
"3","973","478","495","0","332","1.66","1133","0","310","801","13","493"
"4","971","476","495","0","340","1.7","1136","0","275","801","2","486.5"
"5","962","470","492","0","348","1.81","1160","0","254","801","9","485.5"
"6","956","464","492","0","349","1.58","1170","0","256","801","6","481"
"7","943","456","487","0","343","1.75","1124","0","252","801","13","478"
"8","942","455","487","0","345","1.85","1124","0","239","801","1","471.5"
"9","929","444","485","0","352","1.69","1157","0","225","801","13","471"
"10","927","442","485","0","343","1.72","1140","0","226","801","2","464.5"
"11","916","435","481","0","348","1.6","1125","0","219","801","11","463.5"
"12","914","431","483","0","339","1.71","1109","2","212","801","4","458"
"13","901","416","485","0","349","1.56","1149","7","212","801","20","457"
"14","897","411","486","0","338","1.58","1111","1","207","801","5","450.5"
"15","890","404","486","0","338","1.51","1111","6","211","801","13","448.5"
"16","891","402","489","0","332","1.6","1093","3","220","801","2","445"
"17","889","396","493","0","331","1.59","1089","7","216","801","9","445.5"
"18","890","393","497","0","336","1.56","1074","4","206","801","3","444.5"
"19","889","388","501","0","338","1.65","1043","7","202","801","8","445"
"20","893","383","510","0","331","1.46","1010","9","209","801","5","444.5"
"21","891","378","513","0","337","1.49","1001","10","208","801","12","446.5"
"22","897","378","519","0","332","1.51","977","9","216","801","3","445.5"
"23","887","369","518","0","334","1.5","993","4","211","801","14","448.5"
"24","884","365","519","0","325","1.56","930","2","221","801","5","443.5"
"25","881","362","519","0","323","1.35","884","11","222","801","14","442"
"26","888","363","525","0","322","1.35","868","9","209","801","2","440.5"
"27","884","359","525","0","322","1.21","876","6","233","801","10","444"
"28","887","356","531","0","322","1.57","880","7","228","801","4","442"
"29","886","354","532","0","331","1.48","925","7","213","801","8","443.5"
"30","893","354","539","0","325","1.39","855","10","221","801","3","443"
"31","892","351","541","0","330","1.33","859","5","222","801","6","446.5"
"32","895","351","544","0","328","1.35","831","5","217","801","2","446"
"33","897","352","545","0","333","1.24","852","11","209","801","9","447.5"
"34","904","355","549","0","337","1.48","859","8","211","801","1","448.5"
"35","916","353","563","0","335","1.31","865","20","223","801","8","452"
"36","914","349","565","0","335","1.3","857","2","232","801","4","458"
"37","916","350","566","0","329","1.29","829","9","241","801","7","457"
"38","919","350","569","0","331","1.24","812","6","238","801","3","458"
"39","925","352","573","0","333","1.15","800","12","233","801","6","459.5"
"40","929","354","575","0","338","1.37","825","7","231","801","3","462.5"
"41","931","355","576","0","335","1.18","805","10","235","801","8","464.5"
"42","936","356","580","0","344","1.42","857","6","215","801","1","465.5"
"43","939","356","583","0","353","1.24","856","9","212","801","6","468"
"44","946","358","588","0","353","1.39","861","7","209","801","0","469.5"
"45","941","352","589","0","357","1.26","855","5","203","801","10","473"
"46","946","354","592","0","358","1.29","863","6","210","801","1","470.5"
"47","954","357","597","0","357","1.35","864","11","209","801","3","473"
"48","965","357","608","0","365","1.22","845","12","210","801","1","477"
"49","965","354","611","0","369","1.38","913","6","203","801","6","482.5"
"50","971","355","616","0","364","1.32","886","7","214","801","1","482.5"
"51","976","355","621","0","374","1.27","892","10","205","801","5","485.5"
"52","989","362","627","0","368","1.31","898","13","221","801","0","488"
"53","995","364","631","0","373","1.25","905","15","226","801","9","494.5"
"54","1005","368","637","0","372","1.3","892","10","227","801","0","497.5"
"55","1011","371","640","0","371","1.3","908","12","239","801","6","502.5"
"56","1019","372","647","0","368","1.31","920","10","261","801","2","505.5"
"57","1023","374","649","0","376","1.37","934","7","242","801","3","509.5"
"58","1029","377","652","0","384","1.31","927","7","235","801","1","511.5"
"59","1033","378","655","0","394","1.3","944","10","217","801","6","514.5"
"60","1041","381","660","0","398","1.33","928","9","218","801","1","516.5"
"61","1048","386","662","0","395","1.25","937","10","227","801","3","520.5"
"62","1056","386","670","0","396","1.28","934","10","228","801","2","524"
"63","1063","388","675","0","402","1.39","1001","10","233","801","3","528"
"64","1067","389","678","0","411","1.33","1026","5","217","801","1","531.5"
"65","1076","390","686","0","406","1.26","965","12","229","801","3","533.5"
"66","1086","394","692","0","413","1.33","972","10","215","801","0","538"
"67","1102","398","704","0","419","1.3","1006","19","229","801","3","543"
"68","1107","400","707","0","413","1.32","961","5","248","801","0","551"
"69","1106","399","707","0","422","1.35","969","6","238","801","7","553.5"
"70","1115","401","714","0","425","1.34","1011","10","229","801","1","553"
"71","1119","402","717","0","419","1.22","964","9","245","801","5","557.5"
"72","1125","405","720","0","416","1.23","936","6","249","801","0","559.5"
"73","1134","407","727","0","422","1.28","1004","11","236","801","2","562.5"
"74","1144","410","734","0","426","1.34","1023","11","249","801","1","567"
"75","1144","408","736","0","435","1.39","1044","6","247","801","6","572"
"76","1148","409","739","0","434","1.27","1043","4","242","801","0","572"
"77","1152","410","742","0","434","1.25","1018","9","243","801","5","574"
"78","1163","417","746","0","444","1.3","1003","12","225","801","1","576"
"79","1170","421","749","0","449","1.27","1042","12","227","801","5","581.5"
"80","1183","423","760","0","435","1.23","990","15","244","801","2","585"
"81","1196","430","766","0","453","1.32","1040","14","226","801","1","591.5"
"82","1210","434","776","0","460","1.32","1064","16","236","801","2","598"
"83","1224","439","785","0","469","1.23","1086","17","229","801","3","605"
"84","1235","446","789","0","470","1.25","1086","11","235","801","0","612"
"85","1246","449","797","0","470","1.33","1065","13","236","801","2","617.5"
"86","1259","458","801","0","473","1.3","1115","13","240","801","0","623"
"87","1271","463","808","0","477","1.34","1087","15","244","801","3","629.5"
"88","1280","464","816","0","480","1.3","1106","10","242","801","1","635.5"
"89","1284","466","818","0","488","1.19","1073","8","254","801","4","640"
"90","1289","466","823","0","486","1.15","1133","7","263","801","2","642"
"91","1295","468","827","0","494","1.18","1116","10","262","801","4","644.5"
"92","1307","471","836","0","491","1.27","1102","13","249","801","1","647.5"
"93","1311","472","839","0","501","1.28","1123","8","243","801","4","653.5"
"94","1320","477","843","0","501","1.33","1179","9","249","801","0","655.5"
"95","1326","475","851","0","508","1.28","1160","15","252","801","9","660"
"96","1332","478","854","0","497","1.29","1150","7","266","801","1","663"
"97","1335","479","856","0","496","1.17","1107","9","274","801","6","666"
"98","1343","481","862","0","507","1.34","1173","9","268","801","1","667.5"
"99","1344","485","859","0","517","1.25","1173","11","246","801","10","671.5"
"100","1352","488","864","0","525","1.32","1233","8","243","801","0","672"
"101","1362","492","870","0","527","1.28","1209","12","250","801","2","676"
"102","1369","493","876","0","517","1.29","1206","7","247","801","0","681"
"103","1379","500","879","0","540","1.27","1241","14","248","801","4","684.5"
"104","1394","503","891","0","551","1.3","1280","19","225","801","4","689.5"
"105","1401","507","894","0","548","1.36","1252","10","227","801","3","697"
"106","1413","508","905","0","550","1.28","1251","14","232","801","2","700.5"
"107","1427","514","913","0","557","1.24","1256","17","231","801","3","706.5"
"108","1445","521","924","0","549","1.27","1277","19","247","801","1","713.5"
"109","1459","529","930","0","563","1.32","1315","17","254","801","3","722.5"
"110","1468","528","940","0","564","1.32","1354","11","260","801","2","729.5"
"111","1480","531","949","0","558","1.35","1302","15","262","801","3","734"
"112","1489","532","957","0","565","1.22","1292","10","268","801","1","740"
"113","1493","529","964","0","563","1.23","1311","9","276","801","5","744.5"
